REF	ETUD	LOCA	REG	DPT	COM	INSEE	TICO	ADRS	STAT	AFFE	PPRO	DPRO	AUTR	SCLE	
PA00135381	recensement immeubles MH ; label XXe	Languedoc-Roussillon ; Gard ; Nîmes	Languedoc-Roussillon	30	Nîmes	30189	Hôtel Colomb de Daunant, ex-hôtel Foulc	Briçonnet (rue) 10	propriété d'une personne privée		Façades et toitures ; pièces du rez-de-chaussée, escalier, jardin d'hiver dit la serre ; jardin, y compris son mur de clôture avec le nymphée (cad. EZ 88) : inscription par arrêté du 30 mars 1995	1995/03/30 : inscrit MH	WALKER (architecte) ; AFFOURTY (architecte)	3e quart 19e siècle ; 1er quart 20e siècle	
PA00135380	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Aramon	Languedoc-Roussillon	30	Aramon	30012	Château		propriété d'une société privée		Façades et toitures du château (cad. E 328, 1072, 406) avec les remparts ; le pont, les terrasses et leurs murs de soutènement ; en totalité, l'aile ouest dite aile 18e siècle avec le vestibule et l'escalier du 19e siècle ; parc (cad. E 4, 5, 1107) et chapelle Saint-Martin (cad. A 2302) : inscription par arrêté du 23 novembre 1995	1995/11/23 : inscrit MH partiellement	BONDON Pierre (architecte) ; LA MORANDIERE Jules de (architecte)	18e siècle ; 19e siècle	
PA00135379	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Aiguèze	Languedoc-Roussillon	30	Aiguèze	30005	Grotte aux points		propriété de la commune		Grotte (cad. A 323) : inscription par arrêté du 29 mai 1995	1995/05/29 : inscrit MH		paléolithique	
PA00132966	recensement immeubles MH	Languedoc-Roussillon ; Lozère ; Hures-la-Parade	Languedoc-Roussillon	48	Hures-la-Parade	48074	Croix de pierre située au Buffre		propriété d'une personne privée		Croix de pierre (cad. F 487) : inscription par arrêté du 30 mai 1984	1984/05/30 : inscrit MH		12e siècle	
PA00132871	recensement immeubles MH ; label XXe	Languedoc-Roussillon ; Pyrénées-Orientales ; Le Barcarès	Languedoc-Roussillon	66	Barcarès (Le)	66017	Cabane de pêcheur		propriété de l'Etat	affecté au ministère chargé de l'équipement et du logement	Cabane en sagnes (cad. domaine public maritime) : inscription par arrêté du 30 décembre 1994	1994/12/30 : inscrit MH		20e siècle	
PA00132870	recensement immeubles MH ; label XXe	Languedoc-Roussillon ; Pyrénées-Orientales ; Fontpédrouse	Languedoc-Roussillon	66	Fontpédrouse	66080	Viaduc Séjourné		propriété d'un établissement public de l'Etat		Viaduc situé au point kilomètrique 17, 928 sur la ligne de chemin de fer Villefranche - La Tour-de-Carol (cad. non cadastré) : inscription par arrêté du 30 décembre 1994	1994/12/30 : inscrit MH	SEJOURNE Paul (ingénieur) ; LAX Jules (ingénieur)	1er quart 20e siècle	
PA00132869	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Saint-Hilaire-d'Ozilhan	Languedoc-Roussillon	30	Saint-Hilaire-d'Ozilhan	30260	Chapelle Saint-Etienne		Propriété de la commune		Chapelle (cad. ZA 104) : inscription par arrêté du 16 septembre 1994	1994/09/16 : inscrit MH		12e siècle	
PA00132761	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Montferrier-sur-Lez	Languedoc-Roussillon	34	Montferrier-sur-Lez	34169	Aqueduc Saint-Clément (également sur commune de Saint-Clément-de-Rivière)		Propriété de la commune		Pont-aqueduc dit Arceaux sur la Lironde, sur la totalité de sa section sur arcades au-dessus de la rivière Lironde et de la route départementale numéro 112E (cad. Montferrier-sur-Lez AD 59 ; Saint-Clément-la-Rivière CD 110) : inscription par arrêté du 19 août 1994	1994/08/19 : inscrit MH partiellement	PITOT Henri (ingénieur) ; NOGARET Jacques (architecte)	4e quart 18e siècle	
PA00132617	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Rodès	Languedoc-Roussillon	66	Rodès	66165	Eglise Notre-Dame de Domanova		Propriété de la commune		Eglise (cad. B 1556) , ainsi que la galerie, les façades et les toitures de son ermitage (cad. B 1557) : inscription par arrêté du 23 février 1994	1994/02/23 : inscrit MH partiellement		13e siècle	
PA00132616	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Latour-de-France	Languedoc-Roussillon	66	Latour-de-France	66096	Chapelle Saint-Martin		Propriété d'une personne privée ; propriété de la commune		Chapelle (cad. Y 2023) , avec les vestiges de son enceinte, sa porte fortifiée et le sol de son enclos (cad. Y 2022) : inscription par arrêté du 23 août 1994	1994/08/23 : inscrit MH		13e siècle ; 14e siècle	
PA00132615	recensement immeubles MH	Languedoc-Roussillon ; Lozère ; Langogne	Languedoc-Roussillon	48	Langogne	48080	Ancienne filature des Calquières	Calquières (rue des) 23	propriété de la commune		Ancienne filature (cad. AI 39), avec son canal d'amenée d'eau (cad. AI 16, 39, 459) : inscription par arrêté du 30 septembre 1994	1994/09/30 : inscrit MH		19e siècle	
PA00132614	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Pézenas	Languedoc-Roussillon	34	Pézenas	34199	Ancien hôtel de Peyrat	Montmorency (rue) 1 et 3 ; Etats-du-Languedoc (place des)	Propriété de la commune ; Propriété d'une personne privée		Tour et ancien hôtel (cad. BK 1159 à 1162) : inscription par arrêté du 12 septembre 1994	1994/09/12 : inscrit MH		Moyen Age ; 17e siècle	
PA00132613	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Montpellier	Languedoc-Roussillon	34	Montpellier	34172	Palais de Justice	Foch (rue)	Propriété de l'état	Affecté au ministère chargé de la justice	Palais de Justice (cad. HR 205) : inscription par arrêté du 25 mars 1994	1994/03/25 : inscrit MH	ABRIC Charles (architecte)	milieu 19e siècle	
PA00132612	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Lodève	Languedoc-Roussillon	34	Lodève	34142	Halles		Propriété de la commune		Halles (cad. AB 283) : inscription par arrêté du 1er avril 1994	1994/04/01 : inscrit MH			
PA00132611	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Gignac	Languedoc-Roussillon	34	Gignac	34114	Hôtel de Laurès	Grand'Rue 44 ; Général-Claparède (place du)	Propriété de la commune		Hôtel (cad. A 624) : inscription par arrêté du 25 mars 1994	1994/03/25 : inscrit MH		1er quart 17e siècle	
PA00132610	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Alès	Languedoc-Roussillon	30	Alès	30007	Ancien collège dit casernes Thoiras	Pasteur (rue)	Propriété de la commune		Façades et toitures, ainsi que le porche d'entrée principal et le grand escalier de l'ancien collège, à savoir le corps de bâtiment sur la rue Pasteur ainsi que l'aile en retour vers le sud (à l'exception des ajouts récents) (cad. CB 200, 210) : inscription par arrêté du 16 septembre 1994	1994/09/16 : inscrit MH partiellement		18e siècle	
PA00132609	recensement immeubles MH	Languedoc-Roussillon ; Aude ; Rennes-le-Château	Languedoc-Roussillon	11	Rennes-le-Château	11309	Eglise Sainte-Marie-Madeleine		Propriété de la commune		Eglise (cad. A 8) : inscription par arrêté du 26 juillet 1994	1994/07/26 : inscrit MH		12e siècle	
PA00125503	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Montner	Languedoc-Roussillon	66	Montner	66118	Eglise Saint-Jacques		Propriété de la commune		Massif occidental, à savoir la façade, le porche et le clocher (cad. B 72) : inscription par arrêté du 27 juillet 1993	1993/07/27 : inscrit MH partiellement		18e siècle	
PA00125502	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Montbolo	Languedoc-Roussillon	66	Montbolo	66113	Eglise paroissiale Saint-André		Propriété de la commune		Eglise (cad. B 171) : inscription par arrêté du 29 mars 1993	1993/03/29 : inscrit MH		12e siècle	
PA00125501	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Ille-sur-Têt	Languedoc-Roussillon	66	Ille-sur-Têt	66088	Ancien monastère Saint-Clément de Régleille		Propriété privée ; propriété de la commune		Chapelle et vestiges de l'ancien monastère (cad. A 913) : inscription par arrêté du 9 juillet 1993	1993/07/09 : inscrit MH			
PA00125500	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Calce	Languedoc-Roussillon	66	Calce	66030	Ancien château, dit Mas de Las Fons		Propriété de la commune		Chapelle, porche d'entrée, enceinte avec sa poterne (cad. D 130) : inscription par arrêté du 29 mars 1993	1993/03/29 : inscrit MH partiellement		12e siècle ; 14e siècle	
PA00125499	Recensement immeubles MH	Languedoc-Roussillon ; Lozère ; Villefort	Languedoc-Roussillon	48	Villefort	48198	Maison dite gothique	Eglise (rue de l')	propriété d'une personne privée		Maison (cad. AC 132) : inscription par arrêté du 12 février 1993	1993/02/12 : inscrit MH		14e siècle	
PA00125498	Recensement immeubles MH	Languedoc-Roussillon ; Lozère ; Chanac	Languedoc-Roussillon	48	Chanac	48039	Château de Chanac		propriété de la commune		Donjon (cad. B 309) et terrain d'assiette du château (cad. B 310 à 312, 323) : inscription par arrêté du 16 août 1993	1993/08/16 : inscrit MH partiellement		4e quart 12e siècle ; 1er quart 13e siècle	
PA00125497	Recensement immeubles MH	Languedoc-Roussillon ; Lozère ; La Canourgue	Languedoc-Roussillon	48	Canourgue (La)	48034	Maisons à pans de bois	Blé (place au)	propriété de la commune		Deux maisons à pans de bois et encorbellement (cad. B 104, 105) : inscription par arrêté du 29 mars 1993	1993/03/29 : inscrit MH		4e quart 14e siècle ; 1er quart 15e siècle	
PA00125495	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Montpellier	Languedoc-Roussillon	34	Montpellier	34172	Ancienne prison		Propriété de l'Etat	Affecté au ministère chargé de la Justice	Ancienne prison (cad. HR 206) : inscription par arrêté du 9 août 1993	1993/08/09 : inscrit MH	ABRIC Charles (architecte)	2e quart 19e siècle	
PA00125494	recensement immeubles MH ; label XXe	Languedoc-Roussillon ; Hérault ; Marsillargues	Languedoc-Roussillon	34	Marsillargues	34151	Arènes		propriété de la commune ; propriété d'une société privée ; propriété d'une personne privée		Sol de la place ; barrières délimitant la piste situées sur le domaine public, place de l'Hôtel-de-Ville ; façades environnantes (cad. B 295 à 297, 323, 325, 326) : inscription par arrêté du  22 février 1993	1993/02/22 : inscrit MH		3e quart 20e siècle	
PA00125492	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Laurens	Languedoc-Roussillon	34	Laurens	34130	Château de Grézan		Propriété d'une personne privée		Façades et toitures de l'ensemble des bâtiments ; parc (cad. D2 693 à 695, 1112 à 1114, 1125 à 1127, 1161 à 1163) : inscription par arrêté du 22 juillet 1993	1993/07/22 : inscrit MH partiellement	GARROS Louis (architecte)	4e quart 19e siècle	
PA00125491	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Gabian	Languedoc-Roussillon	34	Gabian	34109	Aqueduc de Béziers (également sur communes de Fouzilhon, Magalas, Puissalicon et Corneilhan)		propriété privée ; propriété de la commune		Quatorze tronçons de l'aqueduc de Béziers (cad. Gabian E 761, 764 à 766 ; Fouzilhon B 271 à 275, 277, 278 ; Magalas C 140, 141, 237 à 239, 241, 242, 319, 320, 324, 325, 310 à 312, 570 à 573, 575, 580, 576 ; D 19 à 22, 25 à 27 ; E 180, 181, 184 à 187, 625, 192, 193, 191, 195, 199, 202, 225, 226, 229, 230, 624 ; Puissalicon D 48, 56, 60 à 62 ; Corneilhan AD 16, 17, 158 ; AE 30, 32, 63) : inscription par arrêté du 8 décembre 1993	1993/12/08 : inscrit MH			
PA00125489	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Ferrières-Poussarou	Languedoc-Roussillon	34	Ferrières-Poussarou	34100	Grotte de Camprafaud		Propriété de la commune		Grotte (cad. D2 480) : inscription par arrêté du 26 avril 1993	1993/04/26 : inscrit MH		Néolithique	
PA00125487	Recensement immeubles MH	Languedoc-Roussillon ; Gard ; Le Vigan	Languedoc-Roussillon	30	Vigan (Le)	30350	Ancien hospice		Propriété d'un établissement public		Chapelle, ainsi que la façade sur rue avec la toiture correspondante de l'ancien hospice (cad. AB 336) : inscription par arrêté du 29 mars 1993	1993/03/29 : inscrit MH partiellement		1er quart 19e siècle	
PA00125486	recensement immeubles MH ; label XXe	Languedoc-Roussillon ; Gard ; Saint-Laurent-d'Aigouze	Languedoc-Roussillon	30	Saint-Laurent-d'Aigouze	30276	Arènes	République (place de la)	Propriété de la commune		Sol de la place, barrières délimitant la piste, toril (cad. domaine public, non cadastré) : inscription par arrêté du 10 décembre 1993	1993/12/10 : inscrit MH partiellement			
PA00125485	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Nîmes	Languedoc-Roussillon	30	Nîmes	30189	Palais de Justice	Arènes (boulevard des) ; Libération (à l'angle du boulevard de la)	propriété de l'Etat	affecté au ministère chargé de la Justice	Palais de Justice (cad. EY 648) : inscription par arrêté du 16 août 1993	1993/08/16 : inscrit MH	BOURDON Gaston (architecte) ; COLIN Paul (sculpteur) ; BOUCOIRAN Numa (peintre)	2e quart 19e siècle	
PA00125484	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Générac	Languedoc-Roussillon	30	Générac	30128	Château		propriété d'une personne privée ; propriété de la commune		Le château (cad. D 1086, 1089, 1090, 1078, 1080, 1619, 1620) : inscription par arrêté du 25 mai 1993	1993/05/25 : inscrit MH		milieu 16e siècle	
PA00125483	Recensement immeubles MH	Languedoc-Roussillon ; Gard ; Cardet	Languedoc-Roussillon	30	Cardet	30068	Château de Cardet		Propriété d'une personne privée		Les divers bâtiments du château, à savoir le château, la ferme et l'orangerie servant de magnanerie à l'étage (cad. AC 83) : inscription par arrêté du 14 janvier 1993	1993/01/14 : inscrit MH		18e siècle	
PA00125482	recensement immeubles MH ; label XXe	Languedoc-Roussillon ; Gard ; Le Cailar	Languedoc-Roussillon	30	Cailar (Le)	30059	Arènes		propriété de la commune		Terrain d'assiette ; mur de clôture ; barrières délimitant la piste ; ensemble du bâti structurant l'espace : toril, buvette, présidence ; plantation de platanes (cad. H 241, 242) : inscription par arrêté du 18 janvier 1993	1993/01/18 : inscrit MH		1er quart 20e siècle	
PA00125481	Recensement immeubles MH	Languedoc-Roussillon ; Gard ; Barjac	Languedoc-Roussillon	30	Barjac	30029	Château		Propriété de la commune		Château (cad. AB 52) : inscription par arrêté du 16 août 1993	1993/08/16 : inscrit MH		1ère moitié 17e siècle	
PA00125480	recensement immeubles MH ; label XXe	Languedoc-Roussillon ; Gard ; Aramon	Languedoc-Roussillon	30	Aramon	30012	Arènes		Propriété de la commune		Terrain d'assiette ; barrières délimitant la piste ; bâti structurant l'espace, mur de clôture avec portail, présidence, toril, buvette ; plantation de platanes (cad. A 2066) : inscription par arrêté du 18 janvier 1993	1993/01/18 : inscrit MH partiellement			
PA00125479	Recensement immeubles MH	Languedoc-Roussillon ; Gard ; Aiguèze	Languedoc-Roussillon	30	Aiguèze	30005	Eglise paroissiale		Propriété de la commune		Eglise (cad. AB 203) : inscription par arrêté du 19 mars 1993	1993/03/19 : inscrit MH			
PA00125478	Recensement immeubles MH	Languedoc-Roussillon ; Gard ; Aigues-Mortes	Languedoc-Roussillon	30	Aigues-Mortes	30003	Plan des théâtres		Propriété de l'Etat	Affecté au ministère chargé de la culture	Sol du plan situé entre la porte des Moulins et la poterne des Galions ; barrières délimitant la piste ; toril (cad. E 806) : inscription par arrêté du 18 janvier 1993	1993/01/18 : inscrit MH partiellement		4e quart 19e siècle	
PA00104194	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Cases-de-Pène	Languedoc-Roussillon	66	Cases-de-Pène	66041	Ermitage Notre-Dame-de-Pène		Propriété de la commune		Chapelle et dépendances (cad. C 371) : inscription par arrêté du 1er juin 1992	1992/06/01 : inscrit MH		1ère moitié 16e siècle ; 18e siècle	
PA00104193	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Saint-Cyprien	Languedoc-Roussillon	66	Saint-Cyprien	66171	Chapelle Saint-Etienne-de-Villerase		Propriété de la commune		Chapelle Saint-Etienne-de-Villerase (cad. AM 77) : inscription par arrêté du 21 janvier 1992	1992/01/21 : inscrit MH		12e siècle	
PA00104192	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Bouleternère	Languedoc-Roussillon	66	Bouleternère	66023	Eglise Saint-Sulpice		Propriété de la commune		Eglise composée de deux constructions distinctes correspondant à l'ancienne église (cad. A 110) et à la nouvelle (cad. A 109) : classement par arrêté du 17 mars 1994	1994/03/17 : classé MH		4e quart 12e siècle ; 13e siècle ; 17e siècle	
PA00104191	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Argelès-sur-Mer	Languedoc-Roussillon	66	Argelès-sur-Mer	66008	Eglise Saint-Alexandre-de-la-Pava		Propriété de la commune		Eglise Saint-Alexandre-de-la-Pava (cad. C.D. 40) : inscription par arrêté du 28 novembre 1991	1991/11/28 : inscrit MH		11e siècle ; 18e siècle	
PA00104190	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Argelès-sur-Mer	Languedoc-Roussillon	66	Argelès-sur-Mer	66008	Chapelle Saint-Laurent-du-Mont		Propriété d'une personne privée		Chapelle (cad. CE 108) : classement par arrêté du 4 mars 1994	1994/03/04 : classé MH		4e quart 11e siècle ; 3e quart 12e siècle	
PA00104189	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Serdinya	Languedoc-Roussillon	66	Serdinya	66193	Eglise paroissiale Saint-Côme-et-Damien		Propriété de la commune		Eglise paroissiale Saint-Côme-et-Damien (cad. AB 379) : inscription par arrêté du 7 août 1991	1991/08/07 : inscrit MH		18e siècle	
PA00104188	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Port-Vendres	Languedoc-Roussillon	66	Port-Vendres	66148	Fort de la Mauresque (vestiges)		Propriété de la commune		Fort de la Mauresque (vestiges) (cad. AB 107) : inscription par arrêté du 23 avril 1991	1991/04/23 : inscrit MH		19e siècle	
PA00104187	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Port-Vendres	Languedoc-Roussillon	66	Port-Vendres	66148	Redoute de Mailly (vestiges)		Propriété de l'état	Affecté au ministère chargé de la défense	Redoute de Mailly (vestiges) (cad. AH 67) : inscription par arrêté du 23 avril 1991	1991/04/23 : inscrit MH		4e quart 18e siècle	
PA00104186	recensement immeubles MH ; label XXe	Languedoc-Roussillon ; Pyrénées-Orientales ; Port-Vendres	Languedoc-Roussillon	66	Port-Vendres	66148	Monument aux morts		propriété de la commune		Monument, y compris sa stèle (cad. AE 112) : classement par arrêté du 17 mars 1994	1994/03/17 : classé MH	MAILLOL Aristide (sculpteur)	1er quart 20e siècle	
PA00104185	recensement immeubles MH ; label XXe	Languedoc-Roussillon ; Pyrénées-Orientales ; Céret	Languedoc-Roussillon	66	Céret	66049	Monument aux morts	Liberté (place de la)	propriété de la commune		Monument, y compris sa stèle (cad. non cadastré, domaine public) : classement par arrêté du 17 mars 1994	1994/03/17 : classé MH	MAILLOL Aristide (sculpteur)	1er quart 20e siècle	
PA00104184	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Prats-de-Mollo-la-Preste	Languedoc-Roussillon	66	Prats-de-Mollo-la-Preste	66150	Ermitage Notre-Dame-du-Coral		Propriété de la commune		Ermitage Notre-Dame-du-Coral (cad. D 476, 477) : inscription par arrêté du 18 avril 1990	1990/04/18 : inscrit MH		17e siècle ; 18e siècle	
PA00104183	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Eus	Languedoc-Roussillon	66	Eus	66074	Eglise Saint-Vincent-d'En-Haut		Propriété de la commune		Eglise Saint-Vincent-d'En-Haut (cad. D 127) : inscription par arrêté du 12 juillet 1990	1990/07/12 : inscrit MH		1ère moitié 18e siècle	
PA00104182	recensement immeubles MH ; label XXe	Languedoc-Roussillon ; Pyrénées-Orientales ; Céret	Languedoc-Roussillon	66	Céret	66049	Domaine du château d'Aubiry		propriété privée		En totalité, le château, la chapelle, les serres, la maison du jardinier, les terrasses, le parc et la totalité du bâti situé à l'intérieur du mur de clôture du domaine (y compris ce mur, son portail d'entrée, la grande allée et la maison du gardien) , ainsi que l'oratoire Sainte-Marguerite, à l'exception des bâtiments de la cave viticole ; les façades et toitures des bâtiments de la cave viticole et des logements correspondants ainsi que l'emprise de toutes les parcelles du domaine concernées par la protection (cad. AH 12 à 14, 20 à 38, 40, 41, 43 à 46, 90, 91, la grande allée étant un chemin communal non cadastré ; AI 3) : inscription par arrêté du 19 janvier 2006	2006/01/19 : inscrit MH	Dorph Petersen Viggo (architecte) ; Hubert (maitre verrier) ; Perrault Henry (peintre) ; Ruel Léon (peintre) ; Bastet Victorien-Antoine (sculpteur) ; Gervais Paul-Jean (peintre)	4e quart 19e siècle ; 1er quart 20e siècle	
PA00104181	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Campôme	Languedoc-Roussillon	66	Campôme	66034	Rocher gravé de Fornols		propriété de la commune		Le rocher gravé de Fornols (cad. B 20, lieudit Fornols Haut) : classement par arrêté du 26 février 2008	2008/02/26 : classé MH		Paléolithique	
PA00104180	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Vinça	Languedoc-Roussillon	66	Vinça	66230	Eglise paroissiale Saint-Julien-et-Sainte-Baselisse		Propriété de la commune		Eglise paroissiale Saint-Julien-et-Sainte-Baselisse (cad. B 353) : classement par arrêté du 27 janvier 1987	1987/01/27 : classé MH		17e siècle ; 18e siècle	
PA00104179	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Vinça	Languedoc-Roussillon	66	Vinça	66230	Croix de carrefour dite Croix Noell		Propriété de la commune ; Propriété du département		Croix de carrefour dite Croix Noell (cad. B 2521) : classement par arrêté du 8 juin 1989	1989/06/08 : classé MH		1ère moitié 15e siècle	
PA00104178	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Vinça	Languedoc-Roussillon	66	Vinça	66230	Croix de cimetière				Croix de cimetière du 15e siècle : classement par arrêté du 15 avril 1910	1910/04/15 : classé MH			
PA00104177	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Vinça	Languedoc-Roussillon	66	Vinça	66230	Eglise Saint-Pierre de Belloch		Propriété d'une personne privée		Eglise Saint-Pierre de Belloch (cad. C 395) : inscription par arrêté du 30 octobre 1974	1974/10/30 : inscrit MH		12e siècle	
PA00104176	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Villeneuve-de-la-Raho	Languedoc-Roussillon	66	Villeneuve-de-la-Raho	66227	Chapelle Saint-Julien		Propriété de la commune		Chapelle Saint-Julien : classement par arrêté du 2 mai 1912	1912/05/02 : classé MH		13e siècle	
PA00104175	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Villelongue-dels-Monts	Languedoc-Roussillon	66	Villelongue-dels-Monts	66225	Chapelle Notre-Dame de Vilar		Propriété d'une personne privée		Chapelle, y compris les fresques romanes de l'abside (cad. B 484) : classement par arrêté du 14 novembre 1983 ; Ruines du bâtiment des chanoines mitoyennes de la chapelle, ainsi que les vestiges de l'enceinte (cad. B 483) : inscription par arrêté du 14 novembre 1983	1983/11/14 : classé MH ; 1983/11/14 : inscrit MH		12e siècle	
PA00104174	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Villefranche-de-Conflent	Languedoc-Roussillon	66	Villefranche-de-Conflent	66223	Maison	Saint-Jacques (rue)	Propriété de la commune		Fenêtres à linteaux, sur corbeaux, en façade sur la rue (cad. B 166) : inscription par arrêté du 3 novembre 1965	1965/11/03 : inscrit MH			
PA00104173	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Villefranche-de-Conflent	Languedoc-Roussillon	66	Villefranche-de-Conflent	66223	Maison	Saint-Jean (rue) ; Saint-Jacques (rue)	Propriété de la commune		Façade sur rue Saint-Jean ; porte en arc brisé rue Saint-Jacques ; salle basse ouvrant sur la rue Saint-Jacques (cad. B 133) : inscription par arrêté du 21 octobre 1965	1965/10/21 : inscrit MH			
PA00104172	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Villefranche-de-Conflent	Languedoc-Roussillon	66	Villefranche-de-Conflent	66223	Maison	Saint-Jean (rue)	Propriété de la commune		Façade sur rue et toiture correspondante (cad. B 247) : inscription par arrêté du 25 octobre 1965	1965/10/25 : inscrit MH			
PA00104171	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Villefranche-de-Conflent	Languedoc-Roussillon	66	Villefranche-de-Conflent	66223	Maison Py Cécile	Saint-Jean (rue)	Propriété d'une personne privée		Façade sur rue et toiture correspondante (cad. B 21) : inscription par arrêté du 25 octobre 1965	1965/10/25 : inscrit MH			
PA00104170	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Villefranche-de-Conflent	Languedoc-Roussillon	66	Villefranche-de-Conflent	66223	Maison Verges Pierre	Saint-Jean (rue)	Propriété d'une personne privée		Façade sur rue et toiture correspondante (cad. B 70) : inscription par arrêté du 3 novembre 1965	1965/11/03 : inscrit MH			
PA00104169	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Villefranche-de-Conflent	Languedoc-Roussillon	66	Villefranche-de-Conflent	66223	Maison Verges Jacques	Saint-Jean (rue) ; Remparts (à l'angle de la ruelle des)	Propriété d'une personne privée		Façade sur rue et toiture correspondante (cad. B 66) : inscription par arrêté du 21 octobre 1965	1965/10/21 : inscrit MH			
PA00104168	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Villefranche-de-Conflent	Languedoc-Roussillon	66	Villefranche-de-Conflent	66223	Maison Tafanelli	Saint-Jean (rue)	Propriété d'une personne privée		Portail sur rue (cad. B 108) : inscription par arrêté du 3 novembre 1965	1965/11/03 : inscrit MH			
PA00104167	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Villefranche-de-Conflent	Languedoc-Roussillon	66	Villefranche-de-Conflent	66223	Maison Maury Emile	Saint-Jean (rue)	Propriété d'une personne privée		Façade sur rue et toiture correspondante (cad. B 125) : inscription par arrêté du 22 octobre 1965	1965/10/22 : inscrit MH			
PA00104166	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Villefranche-de-Conflent	Languedoc-Roussillon	66	Villefranche-de-Conflent	66223	Maison Masdeu	Saint-Jean (rue)	Propriété d'une personne privée		Rez-de-chaussée de la façade sur rue (cad. B 136) : inscription par arrêté du 25 octobre 1965	1965/10/25 : inscrit MH			
PA00104165	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Villefranche-de-Conflent	Languedoc-Roussillon	66	Villefranche-de-Conflent	66223	Maison Marty Joseph	Saint-Jean (rue)	Propriété d'une personne privée		Rez-de-chaussée de la façade sur rue (cad. B 13) : inscription par arrêté du 25 octobre 1965	1965/10/25 : inscrit MH			
PA00104164	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Villefranche-de-Conflent	Languedoc-Roussillon	66	Villefranche-de-Conflent	66223	Maison Marty Jacques	Saint-Jean (rue)	Propriété d'une personne privée		Portail (cad. B 10) : inscription par arrêté du 21 octobre 1965	1965/10/21 : inscrit MH			
PA00104163	Recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Villefranche-de-Conflent	Languedoc-Roussillon	66	Villefranche-de-Conflent	66223	Maison Laporte	Saint-Jean (rue)	Propriété d'une personne privée		Façade sur rue et toiture correspondante (cad. B 244) : inscription par arrêté du 25 octobre 1965	1965/10/25 : inscrit MH			
